工单编号,日期,渠道,客户类型,工单内容,期望处理,隐私已脱敏
TK-001,2026-07-01,在线客服,企业用户,验证码收不到，重试三次仍未送达；请尽快处理,解决问题并说明进度,是
TK-002,2026-07-02,App反馈,个人用户,登录页面一直转圈，切换网络后才进入；已经第二次遇到,解决问题并说明进度,是
TK-003,2026-07-03,电话转录,个人用户,退款显示成功但三天后银行卡仍未到账；希望说明原因,解决问题并说明进度,是
TK-004,2026-07-04,邮件,个人用户,优惠券使用后支付金额没有变化；影响正常使用,解决问题并说明进度,是
TK-005,2026-07-05,在线客服,个人用户,订单显示已签收但我没有收到包裹；请尽快处理,解决问题并说明进度,是
TK-006,2026-07-06,App反馈,企业用户,预计次日达，第四天还在运输中；已经第二次遇到,解决问题并说明进度,是
TK-007,2026-07-07,电话转录,个人用户,打开订单页卡顿，列表加载超过十秒；希望说明原因,解决问题并说明进度,是
TK-008,2026-07-08,邮件,个人用户,提交订单时应用闪退，重开后购物车为空；影响正常使用,解决问题并说明进度,是
TK-009,2026-07-09,在线客服,个人用户,在线客服排队四十分钟没有回复；请尽快处理,尽快联系人工,是
TK-010,2026-07-10,App反馈,个人用户,机器人循环回答，找不到人工入口；已经第二次遇到,尽快联系人工,是
TK-011,2026-07-11,电话转录,企业用户,商品详情写有配件，收到后没有配件；希望说明原因,解决问题并说明进度,是
TK-012,2026-07-12,邮件,个人用户,库存显示有货，下单后又通知缺货；影响正常使用,解决问题并说明进度,是
TK-013,2026-07-13,在线客服,个人用户,验证码收不到，重试三次仍未送达；请尽快处理,解决问题并说明进度,是
TK-014,2026-07-14,App反馈,个人用户,登录页面一直转圈，切换网络后才进入；已经第二次遇到,解决问题并说明进度,是
TK-015,2026-07-15,电话转录,个人用户,退款显示成功但三天后银行卡仍未到账；希望说明原因,解决问题并说明进度,是
TK-016,2026-07-16,邮件,企业用户,优惠券使用后支付金额没有变化；影响正常使用,解决问题并说明进度,是
TK-017,2026-07-17,在线客服,个人用户,订单显示已签收但我没有收到包裹；请尽快处理,解决问题并说明进度,是
TK-018,2026-07-18,App反馈,个人用户,预计次日达，第四天还在运输中；已经第二次遇到,解决问题并说明进度,是
TK-019,2026-07-19,电话转录,个人用户,打开订单页卡顿，列表加载超过十秒；希望说明原因,解决问题并说明进度,是
